city,email,phone,gender,firstname,lastname
Brattleboro,DebbieSHill@fleckens.hu,802-904-9939,female,Debbie,Hill
Warrensville Heights,AuroraJFlowers@fleckens.hu,440-429-7309,female,Aurora,Flowers
New York,MarkLApplegate@rhyta.com,212-973-1946,male,Mark,Applegate
Bowie,MarcRMader@einrot.com,301-352-9840,male,Marc,Mader
Chamois,LindaCFeatherstone@fleckens.hu,573-763-5495,female,Linda,Featherstone
Fort Lauderdale,WendyRStone@fleckens.hu,954-618-2039,female,Wendy,Stone
East Syracuse,SandraGGonzalez@teleworm.us,315-405-0788,female,Sandra,Gonzalez
Lima,LouisBReyes@rhyta.com,937-622-9256,male,Louis,Reyes
Schaumburg,GaryJThom@dayrep.com,630-284-8854,male,Gary,Thom
Jupiter,FrancesJHouston@jourrapide.com,561-234-4305,female,Frances,Houston
Philadelphia,AshelyRStewart@cuvox.de,215-692-4749,female,Ashely,Stewart
Lake Tomahawk,GracielaMMeekins@gustr.com,715-277-9340,female,Graciela,Meekins
Colorado Springs,LawrenceKReed@teleworm.us,719-593-3538,male,Lawrence,Reed
Flint,AnthonyLBlauser@fleckens.hu,810-676-3003,male,Anthony,Blauser
Spring Valley,GregorioJDejesus@cuvox.de,845-579-9001,male,Gregorio,Dejesus
Maumelle,MarkKHaubrich@teleworm.us,501-333-4641,male,Mark,Haubrich
Barberton,GerryBSegura@gustr.com,330-706-3291,male,Gerry,Segura
Indianapolis,JeremyMDickman@einrot.com,317-366-5917,male,Jeremy,Dickman
Pinehurst,MarionJPryor@jourrapide.com,832-934-4336,female,Marion,Pryor
Pittsburgh,AnnePHiggins@armyspy.com,412-345-5749,female,Anne,Higgins
Woburn,ElliotEGrenier@fleckens.hu,857-201-1860,male,Elliot,Grenier
Augusta,ZacharyDBode@armyspy.com,706-373-5298,male,Zachary,Bode
Warwick,JamieJWalters@dayrep.com,401-734-1949,male,Jamie,Walters
Three Rivers,CharlesAMuldoon@dayrep.com,269-279-8994,male,Charles,Muldoon
Nashville,NicoleEWiley@superrito.com,615-772-5184,female,Nicole,Wiley
Bloomsburg,JoseSWright@teleworm.us,570-772-6637,male,Jose,Wright
West Nyack,JamesMGonzalez@armyspy.com,917-842-9354,male,James,Gonzalez
Lancaster,LorinaHLewis@rhyta.com,803-273-9043,female,Lorina,Lewis
Houston,JamesEMaddox@cuvox.de,832-641-8908,male,James,Maddox
Houston,SamLWoodward@dayrep.com,979-667-1762,male,Sam,Woodward
Indianapolis,DouglasSMcCracken@superrito.com,765-543-8714,male,Douglas,McCracken
Shell Knob,NancyTGilliam@superrito.com,417-858-4385,female,Nancy,Gilliam
San Jose,GeorgeHChapin@cuvox.de,925-809-7886,male,George,Chapin
Sacramento,JenniferJKim@einrot.com,916-949-4897,female,Jennifer,Kim
Yakima,DianeAArtis@fleckens.hu,509-575-7972,female,Diane,Artis
Miami Springs,SusieRLister@gustr.com,305-736-4211,female,Susie,Lister
Pittsburgh,SandraNMoor@dayrep.com,724-233-8184,female,Sandra,Moor
White Plains,ScottCHolman@superrito.com,914-402-4491,male,Scott,Holman
Denver,OscarDKlein@cuvox.de,303-352-1749,male,Oscar,Klein
Camden,RolandJHann@dayrep.com,609-931-2580,male,Roland,Hann
Philadelphia,DorotheaJHolman@fleckens.hu,484-369-0504,female,Dorothea,Holman
Chicago,DavidTRichardson@cuvox.de,312-401-7217,male,David,Richardson
Fort Collins,HowardERobinson@einrot.com,970-282-0615,male,Howard,Robinson
Campbellton,KathleenCLaramie@superrito.com,830-579-1844,female,Kathleen,Laramie
San Diego,DannyZMayo@gustr.com,619-980-1833,male,Danny,Mayo
Southfield,BeatriceDMatteson@superrito.com,586-620-8257,female,Beatrice,Matteson
Caldwell,RuthWMorris@fleckens.hu,979-567-0788,female,Ruth,Morris
Burr Ridge,FredDSmith@teleworm.us,847-280-3874,male,Fred,Smith
Seattle,MichelleWGowins@jourrapide.com,360-259-2367,female,Michelle,Gowins
Elkhart,JudyPSimmons@armyspy.com,574-226-2313,female,Judy,Simmons
North Highlands,RonREster@teleworm.us,916-349-8669,male,Ron,Ester
Oakland,ThomasBBrock@cuvox.de,707-402-3204,male,Thomas,Brock
Fort Worth,WilliamVKennedy@einrot.com,817-623-2345,male,William,Kennedy
Tulsa,JosephineVThomas@einrot.com,918-763-3154,female,Josephine,Thomas
Roseburg,GaryLFitzpatrick@einrot.com,541-464-8581,male,Gary,Fitzpatrick
South Gate,TiffanyROwens@gustr.com,323-249-0882,female,Tiffany,Owens
Norfolk,BobbyJBernard@fleckens.hu,757-402-8204,male,Bobby,Bernard
Spokane,RonaldBWatson@cuvox.de,509-468-9230,male,Ronald,Watson
Stephen,ElaineRWiegand@einrot.com,218-478-5872,female,Elaine,Wiegand
Ocilla,DennisIWade@teleworm.us,229-468-4177,male,Dennis,Wade
Fredericksburg,MabelDMcKenzie@armyspy.com,540-270-7495,female,Mabel,McKenzie
Burr Ridge,PeggyRGarland@armyspy.com,815-450-5810,female,Peggy,Garland
Mount Olive,RoseJRobison@fleckens.hu,217-999-7276,female,Rose,Robison
Providence,CarolJMartinez@fleckens.hu,401-522-4774,female,Carol,Martinez
Salt Lake City,GladysIAsh@fleckens.hu,801-741-9551,female,Gladys,Ash
Richmond,JamesSHalverson@fleckens.hu,804-398-7740,male,James,Halverson
Grand Rapids,BruceJValentin@armyspy.com,269-584-7239,male,Bruce,Valentin
Superstition,HelenGThomas@gustr.com,480-986-3930,female,Helen,Thomas
Norfolk,ClaudiaCCripe@teleworm.us,315-384-6388,female,Claudia,Cripe
Stonyford,AnthonyRGrant@einrot.com,530-963-1878,male,Anthony,Grant
Lyndhurst,ChristineDMcCormick@cuvox.de,732-488-5527,female,Christine,McCormick
Milpitas,EdnaBFelder@dayrep.com,408-263-6452,female,Edna,Felder
North Hollywood,RichardBNewton@rhyta.com,818-394-6032,male,Richard,Newton
Beaufort,SamuelSRunyan@fleckens.hu,843-770-2848,male,Samuel,Runyan
Deerpark,AlfredNMcFadden@jourrapide.com,631-254-8818,male,Alfred,McFadden
Charlotte,MichaelKWhite@superrito.com,704-201-2800,male,Michael,White
Kansas City,AnthonyCLowe@armyspy.com,816-840-3940,male,Anthony,Lowe
Hyde Park,NicholeJKirby@superrito.com,617-364-1318,female,Nichole,Kirby
Myrtle Beach,PhilACartwright@jourrapide.com,843-788-6926,male,Phil,Cartwright
Pontiac,JoyceGHerring@dayrep.com,517-602-0830,female,Joyce,Herring
Seattle,RalphSBee@einrot.com,206-805-9683,male,Ralph,Bee
Fort Collins,JerryJRacine@gustr.com,970-282-4373,male,Jerry,Racine
Springfield,AaronSAntonio@armyspy.com,413-217-4896,male,Aaron,Antonio
Champaign,DonnaWTrujillo@gustr.com,217-403-6781,female,Donna,Trujillo
Ocala,BernardCRollins@jourrapide.com,352-303-9873,male,Bernard,Rollins
Saybrook,FrankSPalmer@gustr.com,309-475-2497,male,Frank,Palmer
Peoria,MaryAGarrity@teleworm.us,309-481-4586,female,Mary,Garrity
Memphis,JohnRRivera@einrot.com,901-818-0383,male,John,Rivera
Somerset,AlanMMcCarthy@armyspy.com,908-641-7921,male,Alan,McCarthy
Lansing,NoahCSchulte@rhyta.com,517-719-4981,male,Noah,Schulte
Portland,RefugioCMorgan@rhyta.com,503-539-8292,male,Refugio,Morgan
Buffalo,ChristopherACampbell@superrito.com,716-583-1873,male,Christopher,Campbell
Pittsburgh,AndreaHNeill@jourrapide.com,724-300-9016,female,Andrea,Neill
Bismarck,TommyRHolman@superrito.com,701-661-9790,male,Tommy,Holman
New York,JarodILitteral@einrot.com,516-699-9047,male,Jarod,Litteral
Centerville,JenniferISherry@teleworm.us,703-802-4563,female,Jennifer,Sherry
Dallas,AliceKBaker@dayrep.com,682-564-6079,female,Alice,Baker
Opa Locka,SaulELebow@rhyta.com,305-953-9293,male,Saul,Lebow
Southfield,MaryTRiley@einrot.com,734-389-5198,female,Mary,Riley
Dallas,KarenJShaw@jourrapide.com,214-280-9642,female,Karen,Shaw
Hollywood,TobyAMercado@teleworm.us,954-926-4575,male,Toby,Mercado
Birmingham,MicheleJBenard@armyspy.com,205-545-9305,female,Michele,Benard
Los Angeles,NealDTaylor@rhyta.com,805-201-9551,male,Neal,Taylor
Slate Hill,RhondaDJones@armyspy.com,845-355-2249,female,Rhonda,Jones
Los Angeles,PaulCBurch@rhyta.com,323-454-3346,male,Paul,Burch
Kirbyville,JamesRBetancourt@jourrapide.com,409-420-9329,male,James,Betancourt
Garden City,RandyRGilman@gustr.com,845-269-5722,male,Randy,Gilman
Huntington Station,RebeccaRSnyder@gustr.com,631-692-3665,female,Rebecca,Snyder
Hartford,JohnAClark@einrot.com,860-507-4835,male,John,Clark
Duluth,RonaldTHutcheson@cuvox.de,678-957-7060,male,Ronald,Hutcheson
Wichita,ElizabethMSpooner@jourrapide.com,620-307-0963,female,Elizabeth,Spooner
Mcclellan Afb,JoseVVelazco@superrito.com,916-968-9001,male,Jose,Velazco
Atlanta,RichardMThompson@cuvox.de,770-327-2020,male,Richard,Thompson
Montgomery,FranciscoSLehmann@superrito.com,334-246-5237,male,Francisco,Lehmann
Denver,SteveELivingston@jourrapide.com,970-779-3588,male,Steve,Livingston
Fontana,LuisPGarvin@teleworm.us,909-427-4020,male,Luis,Garvin
Dallas,RobertCRepass@fleckens.hu,214-374-3094,male,Robert,Repass
Roodhouse,RickAPredmore@fleckens.hu,217-589-8176,male,Rick,Predmore
Stamford,RobertDPhelps@cuvox.de,203-249-0744,male,Robert,Phelps
Miami,StevenBTrojan@rhyta.com,305-663-6577,male,Steven,Trojan
Bakersfield,MarioDMahmoud@jourrapide.com,661-716-1086,male,Mario,Mahmoud
Stamford,GonzaloNSmith@cuvox.de,203-687-1584,male,Gonzalo,Smith
Montclair,NelsonRButton@gustr.com,908-921-2883,male,Nelson,Button
Indianapolis,DeandreFMontes@teleworm.us,765-697-6857,male,Deandre,Montes
Flint,EdwardSHill@armyspy.com,810-422-6325,male,Edward,Hill
Altoona,GeorgeAGreene@gustr.com,814-858-1250,male,George,Greene
Crestview,NitaRMolina@armyspy.com,850-683-9883,female,Nita,Molina
Bayview,StevenSJones@gustr.com,208-683-1465,male,Steven,Jones
Willmar,JamesSCruz@einrot.com,320-235-8884,male,James,Cruz
York,JerryMPhillips@fleckens.hu,717-505-7020,female,Jerry,Phillips
Macon,TyroneDBeyer@fleckens.hu,478-743-4838,male,Tyrone,Beyer
Carpinteria,DavidMCook@dayrep.com,805-745-0918,male,David,Cook
Chicago,JacquelineDReyna@gustr.com,847-563-2038,female,Jacqueline,Reyna
San Diego,DennisDEdwards@gustr.com,858-637-7495,male,Dennis,Edwards
Worthington,LorraineAHall@teleworm.us,614-844-1340,female,Lorraine,Hall
Clinton,AntonyMEngle@jourrapide.com,580-691-5196,male,Antony,Engle
Philadelphia,LorettaDAmezquita@teleworm.us,215-341-6722,female,Loretta,Amezquita
Oklahoma City,MackAJones@superrito.com,580-375-5121,male,Mack,Jones
Stlouis,WilliamSSmall@cuvox.de,573-772-3940,male,William,Small
Sugar Land,TracyERamos@gustr.com,979-496-0464,female,Tracy,Ramos
Tallahassee,WilliamARodriguez@cuvox.de,850-371-2961,male,William,Rodriguez
Milwaukee,AnnieJHumphrey@rhyta.com,262-465-1581,female,Annie,Humphrey
San Francisco,GeriDHildreth@rhyta.com,707-319-7323,female,Geri,Hildreth
New York,JamesJHodge@rhyta.com,212-416-1256,male,James,Hodge
Golden Valley,AnnaDThompson@rhyta.com,612-619-9209,female,Anna,Thompson
Jacksonville,LuanneBNash@teleworm.us,903-586-2316,female,Luanne,Nash
Providence,MattieBKnight@superrito.com,401-740-6802,female,Mattie,Knight
Houston,ShawndaDWyatt@armyspy.com,713-892-3315,female,Shawnda,Wyatt
Philadelphia,MaryanneFKraatz@rhyta.com,610-707-6905,female,Maryanne,Kraatz
Beaufort,TrudyHCofer@teleworm.us,843-252-0797,female,Trudy,Cofer
Bledsoe,NeldaBSample@rhyta.com,606-558-9173,female,Nelda,Sample
Reserve,JamesSEllis@jourrapide.com,985-479-8662,male,James,Ellis
Sweet Lake,PricillaSBrashears@cuvox.de,337-598-6069,female,Pricilla,Brashears
Austin,ShawnaRLattimore@fleckens.hu,512-309-8054,female,Shawna,Lattimore
Livonia,BrandonCFrampton@fleckens.hu,313-445-3330,male,Brandon,Frampton
Mcallen,MelodyAFaith@dayrep.com,956-618-2307,female,Melody,Faith
Ridgway,ElizabethMRafferty@rhyta.com,618-272-1189,female,Elizabeth,Rafferty
Santa Fe Springs,RonaldABenson@einrot.com,562-500-3352,male,Ronald,Benson
Framingham,MarkKDelgado@jourrapide.com,508-766-8434,male,Mark,Delgado
Stockton,LanceTZeno@einrot.com,209-456-0202,male,Lance,Zeno
Indianapolis,JonathanAHuggins@rhyta.com,765-372-0261,male,Jonathan,Huggins
Midland,RalphLMazzola@einrot.com,432-978-7153,male,Ralph,Mazzola
Nome,RobertMGoddard@armyspy.com,907-443-0057,male,Robert,Goddard
Crestview,MargieJCatchings@teleworm.us,850-683-2445,female,Margie,Catchings
Chesterfield,HughABarfield@teleworm.us,636-735-9679,male,Hugh,Barfield
Montrose,WilliamAEnyeart@superrito.com,660-693-7015,male,William,Enyeart
Dublin,PaulPMoore@gustr.com,510-750-4636,male,Paul,Moore
Albuquerque,KennethSRussell@gustr.com,505-270-2234,male,Kenneth,Russell
Fredericksburg,TroyETurner@dayrep.com,830-385-0007,male,Troy,Turner
Ann Arbor,PaigeWMercado@fleckens.hu,734-647-5325,female,Paige,Mercado
Marco Island,GailELittle@armyspy.com,239-393-4861,female,Gail,Little
Charlotte,ChristinaBPayne@teleworm.us,704-710-8584,female,Christina,Payne
Lac Du Flambeau,AngelicaAScott@fleckens.hu,715-588-4112,female,Angelica,Scott
Hays,BenjaminFPrice@teleworm.us,785-432-3518,male,Benjamin,Price
Sacramento,RobertSClark@armyspy.com,916-756-2496,male,Robert,Clark
Duluth,RickKWhite@superrito.com,404-561-2148,male,Rick,White
Staten Island,RonaldRCarnes@rhyta.com,718-876-2356,male,Ronald,Carnes
Sherman Oaks,TeresaCSmithson@cuvox.de,818-380-8577,female,Teresa,Smithson
Huntington Park,JuanSJones@armyspy.com,323-587-3907,male,Juan,Jones
Cypress,RichardCWelch@superrito.com,714-657-4445,male,Richard,Welch
Anchorage,JohnLFigueroa@superrito.com,907-277-1240,male,John,Figueroa
Portland,BarbaraJHudak@fleckens.hu,207-692-0281,female,Barbara,Hudak
Providence,MichaelCMendez@teleworm.us,401-244-7217,male,Michael,Mendez
Logan,EdnaJWilliams@einrot.com,304-785-4696,female,Edna,Williams
Beltsville,BrianneJKoerner@gustr.com,703-598-9501,female,Brianne,Koerner
Clarksburg,FrankBLightfoot@dayrep.com,202-555-8737,male,Frank,Lightfoot
Tukwila,ElizabethPValentine@superrito.com,425-930-9873,female,Elizabeth,Valentine
Jacksonville,AllisonRBean@superrito.com,904-866-1742,female,Allison,Bean
Houston,RoyMGleason@jourrapide.com,713-595-5747,male,Roy,Gleason
Camden,AmySGriner@cuvox.de,856-243-5467,female,Amy,Griner
Rochelle Park,CherryEGibson@jourrapide.com,908-635-0705,female,Cherry,Gibson
Chicago,LuisMBrown@fleckens.hu,847-231-3178,male,Luis,Brown
Sattler,MaryRNeely@fleckens.hu,830-964-2094,female,Mary,Neely
Rochelle Park,KevinEFerri@fleckens.hu,201-270-8333,male,Kevin,Ferri
St Petersburg,SuzannePHostetler@dayrep.com,727-892-4277,female,Suzanne,Hostetler
Enning,JohnEMorrison@jourrapide.com,605-985-5790,male,John,Morrison
Stanley,TheresaDFernandes@superrito.com,701-629-8913,female,Theresa,Fernandes
Fayetteville,DannyLWolfe@superrito.com,910-292-3834,male,Danny,Wolfe
Deland,RobertKGreen@cuvox.de,386-734-1057,male,Robert,Green
San Francisco,JoyceJPerry@gustr.com,415-282-6446,female,Joyce,Perry
San Jose,LoriAHicks@teleworm.us,415-323-0200,female,Lori,Hicks
Springfield,CharlotteWMcGarry@cuvox.de,417-733-8955,female,Charlotte,McGarry
Russell,KeishaBCoggin@fleckens.hu,507-823-2217,female,Keisha,Coggin
Savannah,IngridGSolano@jourrapide.com,912-387-1449,female,Ingrid,Solano
Southfield,DonnaSBoone@fleckens.hu,248-785-8230,female,Donna,Boone
Queens,GilbertJChill@armyspy.com,718-656-7953,male,Gilbert,Chill
Washington,OdetteFBedford@einrot.com,571-214-8663,female,Odette,Bedford
Baltimore,TroyJGarcia@einrot.com,443-584-1107,male,Troy,Garcia
Toledo,SophieRSchultz@teleworm.us,419-931-2828,female,Sophie,Schultz
Seattle,LisaWSingh@teleworm.us,206-356-9816,female,Lisa,Singh
Prospect Hill,SandraDPortillo@cuvox.de,336-562-1392,female,Sandra,Portillo
Boca Raton,DorisJBuchanan@dayrep.com,954-221-7120,female,Doris,Buchanan
Douglas,SharonVBurdett@einrot.com,912-327-0230,female,Sharon,Burdett
Chicago,GermanKHazlewood@cuvox.de,708-286-2144,male,German,Hazlewood
Sherman Oaks,BobbyDSanders@cuvox.de,818-263-5068,male,Bobby,Sanders
Tucson,DanielKSage@cuvox.de,520-272-4062,female,Daniel,Sage
Pleasant Hill,MargueriteJGlaser@fleckens.hu,505-755-9994,female,Marguerite,Glaser
Annapolis,JohnDZarate@rhyta.com,443-336-1328,male,John,Zarate
Jackson,MarkJJones@dayrep.com,601-316-3512,male,Mark,Jones
Middlebury,StevenHMichaud@teleworm.us,203-695-9309,male,Steven,Michaud
Wisner,PamelaNLong@cuvox.de,402-529-5690,female,Pamela,Long
Las Vegas,AnnieRSaad@rhyta.com,702-365-4505,female,Annie,Saad
Cincinnati,GiselaDTipton@superrito.com,513-244-1188,female,Gisela,Tipton
San Diego,MatthewPCorey@fleckens.hu,858-237-4860,male,Matthew,Corey
Grand Rapids,CarolDSiegel@einrot.com,231-697-1204,female,Carol,Siegel
Houston,AnnCSwanner@armyspy.com,281-940-2877,female,Ann,Swanner
Manchester,PaulMTrujillo@superrito.com,603-953-7426,male,Paul,Trujillo
Rochelle Park,WadeLDavis@einrot.com,201-431-4747,male,Wade,Davis
Alexandria,HaroldJRogers@rhyta.com,703-836-6267,male,Harold,Rogers
Lansing,WayneMMcGuire@gustr.com,517-709-0058,male,Wayne,McGuire
Lanham,RosemaryFMcBride@dayrep.com,301-731-1196,female,Rosemary,McBride
Lake Worth,CliffordSBarreiro@rhyta.com,561-315-2893,male,Clifford,Barreiro
Blue Springs,HelenEDickerson@cuvox.de,816-655-9815,female,Helen,Dickerson
Omaha,TamaraOGilbert@dayrep.com,660-933-9586,female,Tamara,Gilbert
Lake Oswego,TheresaRHenderson@jourrapide.com,503-636-9151,female,Theresa,Henderson
Lafayette,AmyKMastin@rhyta.com,419-649-7457,female,Amy,Mastin
New London,GeorgiaJWoods@einrot.com,860-382-8610,female,Georgia,Woods
Harlingen,StevenRBrackett@fleckens.hu,956-454-6271,male,Steven,Brackett
Toledo,JesseWDiaz@gustr.com,419-473-7111,male,Jesse,Diaz
Philadelphia,ClayCWatson@dayrep.com,610-245-5641,male,Clay,Watson
Apopka,EarlVNewton@jourrapide.com,407-464-3311,male,Earl,Newton
Salinas,KristieMHunt@jourrapide.com,831-744-7509,female,Kristie,Hunt
East Saint Louis,ChristinaRPerryman@fleckens.hu,618-397-8979,female,Christina,Perryman
Detroit Lakes,FranklinKDismuke@einrot.com,218-298-8662,male,Franklin,Dismuke
Saratoga,KennethDFortes@rhyta.com,936-274-7796,male,Kenneth,Fortes
Grand Rapids,PaulaCStanton@dayrep.com,616-241-4494,female,Paula,Stanton
Arthur,MaryJAnderson@fleckens.hu,419-393-5704,female,Mary,Anderson
Chicago,GeorgeSAmbriz@fleckens.hu,773-395-1675,male,George,Ambriz
Corsicana,ChesterKSchaefer@einrot.com,903-980-7715,male,Chester,Schaefer
Philadelphia,AnnaLPotter@armyspy.com,302-566-1111,female,Anna,Potter
Springfield,BrianCGreen@teleworm.us,417-365-1610,male,Brian,Green
Rochelle Park,JeffreyKDunn@teleworm.us,201-316-0747,male,Jeffrey,Dunn
Austin,FrankABedolla@armyspy.com,512-848-3403,male,Frank,Bedolla
Dayton,BrentonADean@rhyta.com,937-673-9838,male,Brenton,Dean
Saginaw,ArthurLEggen@superrito.com,989-430-2858,male,Arthur,Eggen
Jonesboro,CodyMEnriquez@gustr.com,870-333-1997,male,Cody,Enriquez
Lincolnton,MichaelCDavenport@jourrapide.com,704-732-6714,male,Michael,Davenport
Stillwater,BrianMTate@gustr.com,580-222-9986,male,Brian,Tate
Emmett,MariaJMarkley@jourrapide.com,208-477-3554,female,Maria,Markley
Salt Lake City,MaryRHodges@teleworm.us,801-485-7076,female,Mary,Hodges
Scottsdale,KarenAHoffmann@jourrapide.com,480-767-0846,female,Karen,Hoffmann
Zion,SharonCEngland@jourrapide.com,847-731-2682,female,Sharon,England
Wilkes Barre,DorothyJCarr@cuvox.de,570-821-4443,female,Dorothy,Carr
Memphis,MarionJWhite@superrito.com,662-280-6047,female,Marion,White
Providence,MelvinDDorsett@jourrapide.com,401-367-5893,male,Melvin,Dorsett
Greenville,DouglasVLuna@superrito.com,864-561-2661,male,Douglas,Luna
Cookeville,LiseMBenn@teleworm.us,931-349-6650,female,Lise,Benn
Cedar Rapids,VirginiaDWoolsey@superrito.com,319-229-1655,female,Virginia,Woolsey
New York,TiffanyLBrickley@armyspy.com,646-769-4946,female,Tiffany,Brickley
San Jose,EvaDFraser@cuvox.de,510-342-6942,female,Eva,Fraser
Pine Crest,ArnoldETodd@armyspy.com,209-965-8423,male,Arnold,Todd
Plano,CathyESaulsbury@armyspy.com,972-565-3411,female,Cathy,Saulsbury
Nelson,RoderickTMahaffey@cuvox.de,402-225-3641,male,Roderick,Mahaffey
Sarasota,BettyJLaux@einrot.com,941-351-9501,female,Betty,Laux
Urbana,MaryJChew@dayrep.com,937-652-7526,female,Mary,Chew
Hatton,ClarenceABraun@jourrapide.com,509-932-7021,male,Clarence,Braun
Lund,EdithCBroadbent@superrito.com,775-238-5283,female,Edith,Broadbent
Peoria,TabithaCJohnson@fleckens.hu,309-501-1533,female,Tabitha,Johnson
Hopewell Junction,RoxannaCSmith@jourrapide.com,845-221-7804,female,Roxanna,Smith
Texas City,LauraSCaron@einrot.com,409-908-1042,female,Laura,Caron
Framingham,JanetSSommers@fleckens.hu,508-620-1228,female,Janet,Sommers
Seattle,AndrewJJohnson@einrot.com,206-456-9114,male,Andrew,Johnson
Fort Lauderdale,NancyRLambert@armyspy.com,305-449-1235,female,Nancy,Lambert
Greensboro,JosephMHammond@fleckens.hu,336-809-4129,male,Joseph,Hammond
Lanham,RubyPShelley@jourrapide.com,240-317-9236,female,Ruby,Shelley
Cambridge,RobertVRhodes@cuvox.de,617-234-4895,male,Robert,Rhodes
Lincoln,RandallKGreear@jourrapide.com,402-580-8544,male,Randall,Greear
Little Chute,DonitaDStjohn@armyspy.com,920-687-3640,female,Donita,Stjohn
Fort Smith,LisaKMosley@einrot.com,479-788-3219,female,Lisa,Mosley
Greenbelt,ChesterMZeringue@gustr.com,301-318-7594,male,Chester,Zeringue
Memphis,ShirleyKKing@teleworm.us,901-363-8084,female,Shirley,King
San Diego,JermaineHPayne@armyspy.com,619-692-5108,male,Jermaine,Payne
San Diego,PatrickSJohnson@einrot.com,619-789-5528,male,Patrick,Johnson
Ocala,VictorMFord@armyspy.com,352-390-5131,male,Victor,Ford
Hawthorne,CharlotteNGiffin@dayrep.com,310-332-1179,female,Charlotte,Giffin
Rome,CarolMWaites@cuvox.de,706-235-9236,female,Carol,Waites
New Orleans,DavidJHenderson@fleckens.hu,504-343-3183,male,David,Henderson
Ocean View,EvelynGWalton@fleckens.hu,302-539-6773,female,Evelyn,Walton
Boise,RobinJNall@teleworm.us,208-219-3470,female,Robin,Nall
Farmers Branch,JoshuaKWest@dayrep.com,469-652-5507,male,Joshua,West
Harrisonburg,MarvinCAlbert@gustr.com,540-405-1236,male,Marvin,Albert
Mount Auburn,StevenARoss@teleworm.us,217-676-1903,male,Steven,Ross
Sheboygan Falls,JessieBKelly@superrito.com,920-808-6920,female,Jessie,Kelly
El Paso,AnitaESiemens@rhyta.com,915-979-0843,female,Anita,Siemens
Kansas City,MarthaRHerbert@rhyta.com,913-928-0330,female,Martha,Herbert
Irvine,MargaretAKern@teleworm.us,323-602-0111,female,Margaret,Kern
Jersey City,PatriciaSJohnson@fleckens.hu,201-451-2722,female,Patricia,Johnson
Palouse,RonaldENelson@dayrep.com,509-878-8926,male,Ronald,Nelson
Roanoke,AmandaWDick@einrot.com,540-585-8334,female,Amanda,Dick
Cloquet,MarkLCook@armyspy.com,218-878-7166,male,Mark,Cook
Baton Rouge,MarieTMatthews@jourrapide.com,225-752-0666,female,Marie,Matthews
Kadoka,ClintJRowe@einrot.com,605-837-6911,male,Clint,Rowe
Garden City,TammyVLesko@teleworm.us,646-462-0150,female,Tammy,Lesko
Camden,KennethMRoberge@teleworm.us,609-932-6981,male,Kenneth,Roberge
Glenford,TonyGCombs@rhyta.com,740-659-5562,male,Tony,Combs
Syracuse,StaceyHVillar@gustr.com,607-253-9770,female,Stacey,Villar
Jacksonville,CynthiaDAshe@teleworm.us,904-746-6122,female,Cynthia,Ashe
Portland,RyanSHuff@rhyta.com,971-344-9420,male,Ryan,Huff
Saint Paul,JacquelineETidwell@rhyta.com,651-659-9060,female,Jacqueline,Tidwell
Louisville,ManuelDBolduc@fleckens.hu,502-455-0989,male,Manuel,Bolduc
Greenville,PetraABeard@armyspy.com,334-383-7992,female,Petra,Beard
Edgemont,BruceRNeilson@dayrep.com,951-656-0492,male,Bruce,Neilson
San Jose,JeffreyBCrump@teleworm.us,408-570-4299,male,Jeffrey,Crump
Southfield,KatherineKCross@einrot.com,313-672-9739,female,Katherine,Cross
Shippensburg,MelissaMBurt@fleckens.hu,717-816-9224,female,Melissa,Burt
Kittanning,SandraDFurtado@cuvox.de,724-545-8648,female,Sandra,Furtado
Denver,TimothyKOneil@armyspy.com,303-879-9263,male,Timothy,Oneil
Saginaw,EvaMBurnett@jourrapide.com,989-295-1754,female,Eva,Burnett
Oakhurst,JoelAChoice@gustr.com,559-642-0059,male,Joel,Choice
San Mateo,MarieGClevenger@jourrapide.com,650-372-4921,female,Marie,Clevenger
San Jose,AshleyJMills@fleckens.hu,707-266-9970,female,Ashley,Mills
San Antonio,OdellTCamacho@dayrep.com,210-286-1578,male,Odell,Camacho
Auburn,DebbieRDunn@dayrep.com,315-258-8169,female,Debbie,Dunn
Biloxi,DorothyGBloom@armyspy.com,228-332-8001,female,Dorothy,Bloom
Dallas,RogerLSingleton@teleworm.us,903-289-0367,male,Roger,Singleton
Old Saybrook,BarbaraJBeard@rhyta.com,860-510-3547,female,Barbara,Beard
West Palm Beach,TonyaRHicks@teleworm.us,561-688-2644,female,Tonya,Hicks
Greenville,LorraineHBrown@cuvox.de,864-371-4807,female,Lorraine,Brown
Ridgefield,MichaelJFavors@dayrep.com,360-887-5632,male,Michael,Favors
Portland,RogerESayre@fleckens.hu,503-450-0051,male,Roger,Sayre
Los Angeles,SeanCWarren@jourrapide.com,323-967-0585,male,Sean,Warren
Decatur,MilesPTang@cuvox.de,706-809-8454,male,Miles,Tang
Laredo,TracyRKramer@teleworm.us,956-337-4594,female,Tracy,Kramer
Farmington,RupertDKirkland@dayrep.com,270-345-6946,male,Rupert,Kirkland
Fort Lauderdale,DavidSHall@cuvox.de,954-825-8277,male,David,Hall
Needham,FrancesJBruce@einrot.com,508-545-6012,female,Frances,Bruce
Scottsdale,EleanorBErhardt@jourrapide.com,480-657-4890,female,Eleanor,Erhardt
Sacramento,NellieWCoston@jourrapide.com,916-952-0548,female,Nellie,Coston
Charlotte,RichardHPalmer@einrot.com,704-988-1135,male,Richard,Palmer
